iteration,loss
20,0.648266
40,0.646068
60,0.692089
80,0.776388
100,0.592298
120,0.433763
140,0.309803
160,0.308475
180,0.460520
200,0.326657
220,0.588918
240,0.262158
260,0.385350
280,0.459435
300,0.420994
320,0.561793
340,0.588098
360,0.580947
380,0.260661
400,0.476770
420,0.519896
440,0.281616
460,0.401925
480,0.555457
500,0.372994
520,0.659120
540,0.527686
560,0.457737
580,0.512715
600,0.226032
620,0.220829
640,0.485509
660,0.335773
680,0.577807
700,0.296471
720,0.240039
740,0.192425
760,0.346010
780,0.190649
800,0.423673
820,0.187579
840,0.300037
860,0.696733
880,0.378147
900,0.348751
920,0.278307
940,0.245046
960,0.279151
980,0.172399
1000,0.536241
1020,0.320364
1040,0.150719
1060,0.500298
1080,0.269248
1100,0.222573
1120,0.253428
1140,0.496150
1160,0.134776
1180,0.554570
1200,0.322173
1220,0.657124
1240,0.224960
1260,0.197820
1280,0.160254
1300,0.188573
1320,0.498584
1340,0.435245
1360,0.276315
1380,0.133091
1400,0.518632
1420,0.223261
1440,0.615632
1460,0.339693
1480,0.424650
1500,0.375130
1520,0.314608
1540,0.281000
1560,0.259314
1580,0.413217
1600,0.664752
1620,0.721109
1640,0.455859
1660,0.140345
1680,0.160182
1700,0.171875
1720,0.670787
1740,0.092287
1760,0.287135
1780,0.148402
1800,0.354114
1820,0.711779
1840,0.523384
1860,0.424726
1880,0.660786
1900,0.668833
1920,0.704307
1940,0.424297
1960,0.090130
1980,0.534965
2000,0.728665
